Satisfacció aspectes del lloc de treball població ocupada. Per sexe i grups d'edat
Catalunya. 2010
Unitats: Mitjana.
"Font: Idescat, Departament d'Empresa i Ocupació i Ministeri de Treball i Immigració. Enquesta de qualitat de vida en el treball."
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=eqvt&n=1636
,Homes. De 16 a 24 anys,Homes. De 25 a 44 anys,Homes. De 45 a 54 anys,Homes. De 55 anys i més,Homes. Total,Dones. De 16 a 24 anys,Dones. De 25 a 44 anys,Dones. De 45 a 54 anys,Dones. De 55 anys i més,Dones. Total,Ambdós sexes. De 16 a 24 anys,Ambdós sexes. De 25 a 44 anys,Ambdós sexes. De 45 a 54 anys,Ambdós sexes. De 55 anys i més,Ambdós sexes. Total
Jornada,7.86,7.22,7.32,7.26,7.29,7.16,7.29,7.34,7.52,7.32,7.50,7.25,7.33,7.37,7.30
Flexibilitat d'horaris,7.74,6.63,6.78,7.00,6.78,7.40,6.58,6.55,6.80,6.66,7.56,6.61,6.67,6.92,6.73
Temps de descans en la jornada,7.61,6.76,6.98,7.16,6.92,7.34,6.73,6.40,6.90,6.72,7.47,6.75,6.71,7.05,6.83
Vacances i permisos,7.59,7.31,7.20,7.56,7.33,7.51,7.34,7.38,7.28,7.35,7.55,7.32,7.28,7.44,7.34
Salari,5.97,6.14,6.16,6.06,6.13,6.29,5.89,5.70,5.61,5.84,6.14,6.03,5.95,5.87,5.99
Estabilitat,7.27,7.00,7.51,7.45,7.20,7.18,7.30,7.59,7.71,7.42,7.22,7.14,7.55,7.56,7.30
Ajuts socials empresa,3.11,3.77,3.43,3.79,3.65,3.52,3.14,2.93,3.92,3.21,3.32,3.46,3.18,3.85,3.43
Salut i seguretat,7.48,7.60,7.58,7.69,7.60,8.15,7.45,7.36,7.28,7.46,7.83,7.53,7.48,7.52,7.54
Organització del treball,7.70,7.19,7.29,7.27,7.26,7.65,7.05,7.23,7.38,7.18,7.67,7.13,7.26,7.32,7.22
Autonomia/independència,7.57,7.58,7.84,7.48,7.63,6.95,7.48,7.55,7.80,7.50,7.25,7.53,7.71,7.61,7.57
Formació empresa,6.73,6.64,6.31,5.99,6.48,6.40,6.28,6.11,6.20,6.24,6.57,6.48,6.21,6.07,6.37
Participació en decisions,6.70,6.85,7.12,6.50,6.85,6.70,6.98,6.88,6.87,6.92,6.70,6.91,7.01,6.66,6.89
Activitat desenvolupada,7.89,7.88,7.94,7.65,7.86,8.00,7.83,7.82,7.86,7.84,7.95,7.86,7.88,7.74,7.85
Promoció,7.07,5.98,4.96,4.79,5.68,6.18,5.37,5.00,4.53,5.26,6.64,5.69,4.98,4.68,5.48
Valoració superiors,7.73,7.36,7.34,7.34,7.38,7.68,7.26,7.39,7.59,7.36,7.71,7.32,7.37,7.46,7.37
Realització,7.80,7.73,7.78,7.47,7.71,7.82,7.71,7.70,7.71,7.72,7.81,7.72,7.74,7.57,7.71
Nivell de motivació,7.33,7.43,7.39,7.25,7.39,7.59,7.30,7.31,7.22,7.31,7.46,7.37,7.35,7.24,7.35

